Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
284,,Algeria,2020-03-31,716,44
285,,Algeria,2020-04-01,847,58
286,,Algeria,2020-04-02,986,86
287,,Algeria,2020-04-03,1171,105
288,,Algeria,2020-04-04,1251,130
322,,Andorra,2020-01-22,0,0
323,,Andorra,2020-01-23,0,0
324,,Andorra,2020-01-24,0,0
325,,Andorra,2020-01-25,0,0
326,,Andorra,2020-01-26,0,0
327,,Andorra,2020-01-27,0,0
328,,Andorra,2020-01-28,0,0
329,,Andorra,2020-01-29,0,0
330,,Andorra,2020-01-30,0,0
331,,Andorra,2020-01-31,0,0
332,,Andorra,2020-02-01,0,0
333,,Andorra,2020-02-02,0,0
334,,Andorra,2020-02-03,0,0
335,,Andorra,2020-02-04,0,0
336,,Andorra,2020-02-05,0,0
337,,Andorra,2020-02-06,0,0
338,,Andorra,2020-02-07,0,0
339,,Andorra,2020-02-08,0,0
340,,Andorra,2020-02-09,0,0
341,,Andorra,2020-02-10,0,0
342,,Andorra,2020-02-11,0,0
343,,Andorra,2020-02-12,0,0
344,,Andorra,2020-02-13,0,0
345,,Andorra,2020-02-14,0,0
346,,Andorra,2020-02-15,0,0
347,,Andorra,2020-02-16,0,0
348,,Andorra,2020-02-17,0,0
349,,Andorra,2020-02-18,0,0
350,,Andorra,2020-02-19,0,0
351,,Andorra,2020-02-20,0,0
352,,Andorra,2020-02-21,0,0
353,,Andorra,2020-02-22,0,0
354,,Andorra,2020-02-23,0,0
355,,Andorra,2020-02-24,0,0
356,,Andorra,2020-02-25,0,0
357,,Andorra,2020-02-26,0,0
358,,Andorra,2020-02-27,0,0
359,,Andorra,2020-02-28,0,0
360,,Andorra,2020-02-29,0,0
361,,Andorra,2020-03-01,0,0
362,,Andorra,2020-03-02,1,0
363,,Andorra,2020-03-03,1,0
364,,Andorra,2020-03-04,1,0
365,,Andorra,2020-03-05,1,0
366,,Andorra,2020-03-06,1,0
367,,Andorra,2020-03-07,1,0
368,,Andorra,2020-03-08,1,0
369,,Andorra,2020-03-09,1,0
370,,Andorra,2020-03-10,1,0
371,,Andorra,2020-03-11,1,0
372,,Andorra,2020-03-12,1,0
373,,Andorra,2020-03-13,1,0
374,,Andorra,2020-03-14,1,0
375,,Andorra,2020-03-15,1,0
376,,Andorra,2020-03-16,2,0
377,,Andorra,2020-03-17,39,0
378,,Andorra,2020-03-18,39,0
379,,Andorra,2020-03-19,53,0
380,,Andorra,2020-03-20,75,0
381,,Andorra,2020-03-21,88,0
382,,Andorra,2020-03-22,113,1
383,,Andorra,2020-03-23,133,1
384,,Andorra,2020-03-24,164,1
385,,Andorra,2020-03-25,188,1
386,,Andorra,2020-03-26,224,3
387,,Andorra,2020-03-27,267,3
388,,Andorra,2020-03-28,308,3
389,,Andorra,2020-03-29,334,6
390,,Andorra,2020-03-30,370,8
391,,Andorra,2020-03-31,376,12
392,,Andorra,2020-04-01,390,14
393,,Andorra,2020-04-02,428,15
394,,Andorra,2020-04-03,439,16
395,,Andorra,2020-04-04,466,17
429,,Angola,2020-01-22,0,0
430,,Angola,2020-01-23,0,0
431,,Angola,2020-01-24,0,0
432,,Angola,2020-01-25,0,0
433,,Angola,2020-01-26,0,0
434,,Angola,2020-01-27,0,0
435,,Angola,2020-01-28,0,0
436,,Angola,2020-01-29,0,0
437,,Angola,2020-01-30,0,0
438,,Angola,2020-01-31,0,0
439,,Angola,2020-02-01,0,0
440,,Angola,2020-02-02,0,0
441,,Angola,2020-02-03,0,0
442,,Angola,2020-02-04,0,0
443,,Angola,2020-02-05,0,0
444,,Angola,2020-02-06,0,0
445,,Angola,2020-02-07,0,0
446,,Angola,2020-02-08,0,0
447,,Angola,2020-02-09,0,0
448,,Angola,2020-02-10,0,0
449,,Angola,2020-02-11,0,0
450,,Angola,2020-02-12,0,0
451,,Angola,2020-02-13,0,0
452,,Angola,2020-02-14,0,0
453,,Angola,2020-02-15,0,0
454,,Angola,2020-02-16,0,0
455,,Angola,2020-02-17,0,0
456,,Angola,2020-02-18,0,0
457,,Angola,2020-02-19,0,0
458,,Angola,2020-02-20,0,0
459,,Angola,2020-02-21,0,0
460,,Angola,2020-02-22,0,0
461,,Angola,2020-02-23,0,0
462,,Angola,2020-02-24,0,0
463,,Angola,2020-02-25,0,0
464,,Angola,2020-02-26,0,0
465,,Angola,2020-02-27,0,0
466,,Angola,2020-02-28,0,0
467,,Angola,2020-02-29,0,0
468,,Angola,2020-03-01,0,0
469,,Angola,2020-03-02,0,0
470,,Angola,2020-03-03,0,0
471,,Angola,2020-03-04,0,0
472,,Angola,2020-03-05,0,0
473,,Angola,2020-03-06,0,0
474,,Angola,2020-03-07,0,0
475,,Angola,2020-03-08,0,0
476,,Angola,2020-03-09,0,0
477,,Angola,2020-03-10,0,0
478,,Angola,2020-03-11,0,0
479,,Angola,2020-03-12,0,0
480,,Angola,2020-03-13,0,0
481,,Angola,2020-03-14,0,0
482,,Angola,2020-03-15,0,0
483,,Angola,2020-03-16,0,0
484,,Angola,2020-03-17,0,0
485,,Angola,2020-03-18,0,0
486,,Angola,2020-03-19,0,0
487,,Angola,2020-03-20,1,0
488,,Angola,2020-03-21,2,0
489,,Angola,2020-03-22,2,0
490,,Angola,2020-03-23,3,0
491,,Angola,2020-03-24,3,0
492,,Angola,2020-03-25,3,0
493,,Angola,2020-03-26,4,0
494,,Angola,2020-03-27,4,0
495,,Angola,2020-03-28,5,0
496,,Angola,2020-03-29,7,2
497,,Angola,2020-03-30,7,2
498,,Angola,2020-03-31,7,2
499,,Angola,2020-04-01,8,2
500,,Angola,2020-04-02,8,2
501,,Angola,2020-04-03,8,2
502,,Angola,2020-04-04,10,2
536,,Antigua and Barbuda,2020-01-22,0,0
537,,Antigua and Barbuda,2020-01-23,0,0
538,,Antigua and Barbuda,2020-01-24,0,0
539,,Antigua and Barbuda,2020-01-25,0,0
540,,Antigua and Barbuda,2020-01-26,0,0
541,,Antigua and Barbuda,2020-01-27,0,0
542,,Antigua and Barbuda,2020-01-28,0,0
543,,Antigua and Barbuda,2020-01-29,0,0
544,,Antigua and Barbuda,2020-01-30,0,0
545,,Antigua and Barbuda,2020-01-31,0,0
546,,Antigua and Barbuda,2020-02-01,0,0
547,,Antigua and Barbuda,2020-02-02,0,0
548,,Antigua and Barbuda,2020-02-03,0,0
549,,Antigua and Barbuda,2020-02-04,0,0
550,,Antigua and Barbuda,2020-02-05,0,0
551,,Antigua and Barbuda,2020-02-06,0,0
552,,Antigua and Barbuda,2020-02-07,0,0
553,,Antigua and Barbuda,2020-02-08,0,0
554,,Antigua and Barbuda,2020-02-09,0,0
555,,Antigua and Barbuda,2020-02-10,0,0
556,,Antigua and Barbuda,2020-02-11,0,0
557,,Antigua and Barbuda,2020-02-12,0,0
558,,Antigua and Barbuda,2020-02-13,0,0
559,,Antigua and Barbuda,2020-02-14,0,0
560,,Antigua and Barbuda,2020-02-15,0,0
561,,Antigua and Barbuda,2020-02-16,0,0
562,,Antigua and Barbuda,2020-02-17,0,0
563,,Antigua and Barbuda,2020-02-18,0,0
564,,Antigua and Barbuda,2020-02-19,0,0
565,,Antigua and Barbuda,2020-02-20,0,0
566,,Antigua and Barbuda,2020-02-21,0,0
567,,Antigua and Barbuda,2020-02-22,0,0
568,,Antigua and Barbuda,2020-02-23,0,0
569,,Antigua and Barbuda,2020-02-24,0,0
570,,Antigua and Barbuda,2020-02-25,0,0
571,,Antigua and Barbuda,2020-02-26,0,0
572,,Antigua and Barbuda,2020-02-27,0,0
573,,Antigua and Barbuda,2020-02-28,0,0
574,,Antigua and Barbuda,2020-02-29,0,0
575,,Antigua and Barbuda,2020-03-01,0,0
576,,Antigua and Barbuda,2020-03-02,0,0
577,,Antigua and Barbuda,2020-03-03,0,0
578,,Antigua and Barbuda,2020-03-04,0,0
579,,Antigua and Barbuda,2020-03-05,0,0
580,,Antigua and Barbuda,2020-03-06,0,0
581,,Antigua and Barbuda,2020-03-07,0,0
582,,Antigua and Barbuda,2020-03-08,0,0
583,,Antigua and Barbuda,2020-03-09,0,0
584,,Antigua and Barbuda,2020-03-10,0,0
585,,Antigua and Barbuda,2020-03-11,0,0
586,,Antigua and Barbuda,2020-03-12,0,0
587,,Antigua and Barbuda,2020-03-13,1,0
588,,Antigua and Barbuda,2020-03-14,1,0
589,,Antigua and Barbuda,2020-03-15,1,0
590,,Antigua and Barbuda,2020-03-16,1,0
591,,Antigua and Barbuda,2020-03-17,1,0
592,,Antigua and Barbuda,2020-03-18,1,0
593,,Antigua and Barbuda,2020-03-19,1,0
594,,Antigua and Barbuda,2020-03-20,1,0
595,,Antigua and Barbuda,2020-03-21,1,0
596,,Antigua and Barbuda,2020-03-22,1,0
597,,Antigua and Barbuda,2020-03-23,3,0
598,,Antigua and Barbuda,2020-03-24,3,0
599,,Antigua and Barbuda,2020-03-25,3,0
600,,Antigua and Barbuda,2020-03-26,7,0
601,,Antigua and Barbuda,2020-03-27,7,0
602,,Antigua and Barbuda,2020-03-28,7,0
603,,Antigua and Barbuda,2020-03-29,7,0
604,,Antigua and Barbuda,2020-03-30,7,0
605,,Antigua and Barbuda,2020-03-31,7,0
606,,Antigua and Barbuda,2020-04-01,7,0
607,,Antigua and Barbuda,2020-04-02,9,0
608,,Antigua and Barbuda,2020-04-03,15,0
609,,Antigua and Barbuda,2020-04-04,15,0
643,,Argentina,2020-01-22,0,0
644,,Argentina,2020-01-23,0,0
645,,Argentina,2020-01-24,0,0
646,,Argentina,2020-01-25,0,0
647,,Argentina,2020-01-26,0,0
648,,Argentina,2020-01-27,0,0
649,,Argentina,2020-01-28,0,0
650,,Argentina,2020-01-29,0,0
651,,Argentina,2020-01-30,0,0
652,,Argentina,2020-01-31,0,0
653,,Argentina,2020-02-01,0,0
654,,Argentina,2020-02-02,0,0
655,,Argentina,2020-02-03,0,0
656,,Argentina,2020-02-04,0,0
657,,Argentina,2020-02-05,0,0
658,,Argentina,2020-02-06,0,0
659,,Argentina,2020-02-07,0,0
660,,Argentina,2020-02-08,0,0
661,,Argentina,2020-02-09,0,0
662,,Argentina,2020-02-10,0,0
663,,Argentina,2020-02-11,0,0
664,,Argentina,2020-02-12,0,0
665,,Argentina,2020-02-13,0,0
666,,Argentina,2020-02-14,0,0
667,,Argentina,2020-02-15,0,0
668,,Argentina,2020-02-16,0,0
669,,Argentina,2020-02-17,0,0
670,,Argentina,2020-02-18,0,0
671,,Argentina,2020-02-19,0,0
672,,Argentina,2020-02-20,0,0
673,,Argentina,2020-02-21,0,0
674,,Argentina,2020-02-22,0,0
675,,Argentina,2020-02-23,0,0
676,,Argentina,2020-02-24,0,0
677,,Argentina,2020-02-25,0,0
678,,Argentina,2020-02-26,0,0
679,,Argentina,2020-02-27,0,0
680,,Argentina,2020-02-28,0,0
681,,Argentina,2020-02-29,0,0
682,,Argentina,2020-03-01,0,0
683,,Argentina,2020-03-02,0,0
684,,Argentina,2020-03-03,1,0
685,,Argentina,2020-03-04,1,0
686,,Argentina,2020-03-05,1,0
687,,Argentina,2020-03-06,2,0
688,,Argentina,2020-03-07,8,0
689,,Argentina,2020-03-08,12,1
690,,Argentina,2020-03-09,12,1
691,,Argentina,2020-03-10,17,1
692,,Argentina,2020-03-11,19,1
693,,Argentina,2020-03-12,19,1
694,,Argentina,2020-03-13,31,2
695,,Argentina,2020-03-14,34,2
696,,Argentina,2020-03-15,45,2
697,,Argentina,2020-03-16,56,2
698,,Argentina,2020-03-17,68,2
699,,Argentina,2020-03-18,79,2
700,,Argentina,2020-03-19,97,3
701,,Argentina,2020-03-20,128,3
702,,Argentina,2020-03-21,158,4
703,,Argentina,2020-03-22,266,4
704,,Argentina,2020-03-23,301,4
705,,Argentina,2020-03-24,387,6
706,,Argentina,2020-03-25,387,8
707,,Argentina,2020-03-26,502,9
708,,Argentina,2020-03-27,589,13
709,,Argentina,2020-03-28,690,18
710,,Argentina,2020-03-29,745,19
711,,Argentina,2020-03-30,820,23
712,,Argentina,2020-03-31,1054,27
713,,Argentina,2020-04-01,1054,28
714,,Argentina,2020-04-02,1133,36
715,,Argentina,2020-04-03,1265,39
716,,Argentina,2020-04-04,1451,43
750,,Armenia,2020-01-22,0,0
751,,Armenia,2020-01-23,0,0
752,,Armenia,2020-01-24,0,0
753,,Armenia,2020-01-25,0,0
754,,Armenia,2020-01-26,0,0
755,,Armenia,2020-01-27,0,0
756,,Armenia,2020-01-28,0,0
757,,Armenia,2020-01-29,0,0
758,,Armenia,2020-01-30,0,0
759,,Armenia,2020-01-31,0,0
760,,Armenia,2020-02-01,0,0
761,,Armenia,2020-02-02,0,0
762,,Armenia,2020-02-03,0,0
763,,Armenia,2020-02-04,0,0
764,,Armenia,2020-02-05,0,0
765,,Armenia,2020-02-06,0,0
766,,Armenia,2020-02-07,0,0
767,,Armenia,2020-02-08,0,0
768,,Armenia,2020-02-09,0,0
769,,Armenia,2020-02-10,0,0
770,,Armenia,2020-02-11,0,0
771,,Armenia,2020-02-12,0,0
772,,Armenia,2020-02-13,0,0
773,,Armenia,2020-02-14,0,0
774,,Armenia,2020-02-15,0,0
775,,Armenia,2020-02-16,0,0
776,,Armenia,2020-02-17,0,0
777,,Armenia,2020-02-18,0,0
778,,Armenia,2020-02-19,0,0
779,,Armenia,2020-02-20,0,0
780,,Armenia,2020-02-21,0,0
781,,Armenia,2020-02-22,0,0
782,,Armenia,2020-02-23,0,0
783,,Armenia,2020-02-24,0,0
784,,Armenia,2020-02-25,0,0
785,,Armenia,2020-02-26,0,0
786,,Armenia,2020-02-27,0,0
787,,Armenia,2020-02-28,0,0
788,,Armenia,2020-02-29,0,0
789,,Armenia,2020-03-01,1,0
790,,Armenia,2020-03-02,1,0
791,,Armenia,2020-03-03,1,0
792,,Armenia,2020-03-04,1,0
793,,Armenia,2020-03-05,1,0
794,,Armenia,2020-03-06,1,0
795,,Armenia,2020-03-07,1,0
796,,Armenia,2020-03-08,1,0
797,,Armenia,2020-03-09,1,0
798,,Armenia,2020-03-10,1,0
799,,Armenia,2020-03-11,1,0
800,,Armenia,2020-03-12,4,0
801,,Armenia,2020-03-13,8,0
802,,Armenia,2020-03-14,18,0
803,,Armenia,2020-03-15,26,0
804,,Armenia,2020-03-16,52,0
805,,Armenia,2020-03-17,78,0
806,,Armenia,2020-03-18,84,0
807,,Armenia,2020-03-19,115,0
808,,Armenia,2020-03-20,136,0
809,,Armenia,2020-03-21,160,0
810,,Armenia,2020-03-22,194,0
811,,Armenia,2020-03-23,235,0
812,,Armenia,2020-03-24,249,0
813,,Armenia,2020-03-25,265,0
814,,Armenia,2020-03-26,290,1
815,,Armenia,2020-03-27,329,1
816,,Armenia,2020-03-28,407,1
817,,Armenia,2020-03-29,424,3
818,,Armenia,2020-03-30,482,3
819,,Armenia,2020-03-31,532,3
820,,Armenia,2020-04-01,571,4
821,,Armenia,2020-04-02,663,7
822,,Armenia,2020-04-03,736,7
823,,Armenia,2020-04-04,770,7
857,Australian Capital Territory,Australia,2020-01-22,0,0
858,Australian Capital Territory,Australia,2020-01-23,0,0
859,Australian Capital Territory,Australia,2020-01-24,0,0
860,Australian Capital Territory,Australia,2020-01-25,0,0
861,Australian Capital Territory,Australia,2020-01-26,0,0
862,Australian Capital Territory,Australia,2020-01-27,0,0
863,Australian Capital Territory,Australia,2020-01-28,0,0
864,Australian Capital Territory,Australia,2020-01-29,0,0
865,Australian Capital Territory,Australia,2020-01-30,0,0
866,Australian Capital Territory,Australia,2020-01-31,0,0
867,Australian Capital Territory,Australia,2020-02-01,0,0
868,Australian Capital Territory,Australia,2020-02-02,0,0
869,Australian Capital Territory,Australia,2020-02-03,0,0
870,Australian Capital Territory,Australia,2020-02-04,0,0
871,Australian Capital Territory,Australia,2020-02-05,0,0
872,Australian Capital Territory,Australia,2020-02-06,0,0
873,Australian Capital Territory,Australia,2020-02-07,0,0
874,Australian Capital Territory,Australia,2020-02-08,0,0
875,Australian Capital Territory,Australia,2020-02-09,0,0
876,Australian Capital Territory,Australia,2020-02-10,0,0
877,Australian Capital Territory,Australia,2020-02-11,0,0
878,Australian Capital Territory,Australia,2020-02-12,0,0
879,Australian Capital Territory,Australia,2020-02-13,0,0
880,Australian Capital Territory,Australia,2020-02-14,0,0
881,Australian Capital Territory,Australia,2020-02-15,0,0
882,Australian Capital Territory,Australia,2020-02-16,0,0
883,Australian Capital Territory,Australia,2020-02-17,0,0
884,Australian Capital Territory,Australia,2020-02-18,0,0
885,Australian Capital Territory,Australia,2020-02-19,0,0
886,Australian Capital Territory,Australia,2020-02-20,0,0
887,Australian Capital Territory,Australia,2020-02-21,0,0
888,Australian Capital Territory,Australia,2020-02-22,0,0
889,Australian Capital Territory,Australia,2020-02-23,0,0
890,Australian Capital Territory,Australia,2020-02-24,0,0
891,Australian Capital Territory,Australia,2020-02-25,0,0
892,Australian Capital Territory,Australia,2020-02-26,0,0
893,Australian Capital Territory,Australia,2020-02-27,0,0
894,Australian Capital Territory,Australia,2020-02-28,0,0
895,Australian Capital Territory,Australia,2020-02-29,0,0
896,Australian Capital Territory,Australia,2020-03-01,0,0
897,Australian Capital Territory,Australia,2020-03-02,0,0
898,Australian Capital Territory,Australia,2020-03-03,0,0
899,Australian Capital Territory,Australia,2020-03-04,0,0
900,Australian Capital Territory,Australia,2020-03-05,0,0
901,Australian Capital Territory,Australia,2020-03-06,0,0
902,Australian Capital Territory,Australia,2020-03-07,0,0
903,Australian Capital Territory,Australia,2020-03-08,0,0
904,Australian Capital Territory,Australia,2020-03-09,0,0
905,Australian Capital Territory,Australia,2020-03-10,0,0
906,Australian Capital Territory,Australia,2020-03-11,0,0
907,Australian Capital Territory,Australia,2020-03-12,0,0
908,Australian Capital Territory,Australia,2020-03-13,1,0
909,Australian Capital Territory,Australia,2020-03-14,1,0
910,Australian Capital Territory,Australia,2020-03-15,1,0
911,Australian Capital Territory,Australia,2020-03-16,2,0
912,Australian Capital Territory,Australia,2020-03-17,2,0
913,Australian Capital Territory,Australia,2020-03-18,3,0
914,Australian Capital Territory,Australia,2020-03-19,4,0
915,Australian Capital Territory,Australia,2020-03-20,6,0
916,Australian Capital Territory,Australia,2020-03-21,9,0
917,Australian Capital Territory,Australia,2020-03-22,19,0
918,Australian Capital Territory,Australia,2020-03-23,32,0
919,Australian Capital Territory,Australia,2020-03-24,39,0
920,Australian Capital Territory,Australia,2020-03-25,39,0
921,Australian Capital Territory,Australia,2020-03-26,53,0
922,Australian Capital Territory,Australia,2020-03-27,62,0
923,Australian Capital Territory,Australia,2020-03-28,71,0
924,Australian Capital Territory,Australia,2020-03-29,77,0
925,Australian Capital Territory,Australia,2020-03-30,78,1
926,Australian Capital Territory,Australia,2020-03-31,80,1
927,Australian Capital Territory,Australia,2020-04-01,84,1
928,Australian Capital Territory,Australia,2020-04-02,87,1
929,Australian Capital Territory,Australia,2020-04-03,91,1
930,Australian Capital Territory,Australia,2020-04-04,93,2
964,New South Wales,Australia,2020-01-22,0,0
965,New South Wales,Australia,2020-01-23,0,0
966,New South Wales,Australia,2020-01-24,0,0
967,New South Wales,Australia,2020-01-25,0,0
968,New South Wales,Australia,2020-01-26,3,0
969,New South Wales,Australia,2020-01-27,4,0
970,New South Wales,Australia,2020-01-28,4,0
971,New South Wales,Australia,2020-01-29,4,0
972,New South Wales,Australia,2020-01-30,4,0
973,New South Wales,Australia,2020-01-31,4,0
